procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    127     15    441    0    0     0     0 1912 12013  4  8 88  0  0
 0  0      0    127     15    441    0    0     0     0 3773 28805 16 10 73  0  0
 0  0      0    127     15    441    0    0     0     0  306 1397  1  0 99  0  0
 0  0      0    127     15    441    0    0     0     0 1944 14249 11  5 84  0  0
 0  0      0    127     15    441    0    0     0     0  602 7356  4  2 94  0  0
 0  0      0    127     15    441    0    0     0    24 5712 33933 19 13 67  0  0
 1  0      0    127     15    441    0    0     0     0 2642 17637 12  7 81  0  0
 0  0      0    127     15    441    0    0     0     0  417 4472  2  1 97  0  0
 0  0      0    127     15    441    0    0     0     0  976 9587  6  4 90  0  0
 2  0      0    127     15    441    0    0     0     0  982 11980  7  3 90  0  0
 0  0      0    127     15    441    0    0     0     0 1051 10149  6  3 91  0  0
 0  0      0    127     15    441    0    0     0     0 1216 10008  4  3 93  0  0
 3  0      0    127     15    441    0    0     0     0 1634 12236  8  6 86  0  0
 0  0      0    127     15    441    0    0     0     0 4889 34348 19 13 68  0  0
 0  0      0    127     15    441    0    0     0     0 3505 25144 14 10 76  0  0
 3  0      0    127     15    441    0    0     0     0 1809 12852  7  4 88  0  1
 0  0      0    127     15    441    0    0     0     0 1270 10438  6  3 91  0  0
 0  0      0    127     15    441    0    0     0     0 1126 14675  8  5 87  0  0
 0  0      0    127     15    441    0    0     0     0 2165 16240  7  7 86  0  0
 0  0      0    127     15    441    0    0     0     0 1711 11123  5  7 88  0  0
 0  0      0    127     15    441    0    0     0     0 1341 7951  3  3 94  0  0
 0  0      0    127     15    441    0    0     0    32  873 5365  3  1 96  0  0
 0  0      0    127     15    441    0    0     0     0 1004 9265  5  4 91  0  0
 0  0      0    127     15    441    0    0     0     0 3319 22255 14  8 78  0  0
 0  0      0    127     15    441    0    0     0     0 2979 28953 16 11 73  0  0
 0  0      0    127     15    441    0    0     0     0 2063 15923  8  6 86  0  0
 0  0      0    127     15    441    0    0     0     0 3380 24652 13 12 75  0  0
 3  0      0    127     15    441    0    0     0     0 4685 31171 19 13 69  0  0
 0  0      0    127     15    441    0    0     0     0 1752 11755  8  3 89  0  0
 0  0      0    127     15    441    0    0     0     0 1788 12079  5  5 90  0  0
 3  0      0    127     15    441    0    0     0     8  418 4678  2  1 97  0  0
 0  0      0    127     15    441    0    0     0     0  880 7977  5  3 92  0  0
 0  0      0    127     15    441    0    0     0     0 3596 29720 17 10 73  0  0
 4  0      0    127     15    441    0    0     0     0  617 9939  4  3 93  0  0
 0  0      0    127     15    441    0    0     0     0 3238 23431 13 10 76  0  1
 0  0      0    127     15    441    0    0     0    16 3007 16894 11  8 81  0  0
 2  0      0    127     15    441    0    0     0     0 2252 14388  8  6 86  0  0
 0  0      0    127     15    441    0    0     0     0 2017 14747  6  7 87  0  0
 0  0      0    125     15    441    0    0     0     0 3746 22874 17  8 75  0  0
 0  0      0    125     15    441    0    0     0     0 1504 8237  5  2 93  0  0
 0  0      0    125     15    441    0    0     0     8 3590 21605 13  8 79  0  0
 0  0      0    125     15    441    0    0     0     0 4593 25077 13 13 74  0  0
 0  0      0    125     15    441    0    0     0     0 1413 8154  2  4 94  0  0
 0  0      0    125     15    441    0    0     0     0 1292 7019  3  4 93  0  0
 0  0      0    125     15    441    0    0     0     0  432 2849  3  1 96  0  0
 0  0      0    125     15    441    0    0     0     0  490 24539 13  7 80  0  0
 0  0      0    125     15    441    0    0     0     0 1092 17233  9  5 86  0  0
 0  0      0    125     15    441    0    0     0     0 1158 12081  7  3 90  0  0
 0  0      0    125     15    441    0    0     0     0 1157 11358  7  5 88  0  0
 0  0      0    125     15    441    0    0     0     0  423 12143  4  5 91  0  0
 0  0      0    125     15    441    0    0     0     0  517 16733  9  4 87  0  0
 0  0      0    125     15    441    0    0     0    36  367 11556  6  3 91  0  0
 0  0      0    125     15    441    0    0     0     0 1913 22324 13  7 80  0  0
 0  0      0    125     15    441    0    0     0     0  464 14385  7  4 89  0  0
 0  0      0    125     15    441    0    0     0     0  645 5459  4  1 95  0  0
 0  0      0    125     15    441    0    0     0    12  697 28781 16  9 75  0  0
 0  0      0    125     15    441    0    0     0     0  660 42774 23 12 64  0  0
 0  0      0    125     15    441    0    0     0     0  357 5143  1  3 96  0  0
 0  0      0    125     15    441    0    0     0     0  607 16890  7  7 85  0  1
 0  0      0    125     15    441    0    0     0     0  408 22475 12  6 82  0  0
 0  0      0    125     15    441    0    0     0     0  594 20108 11  5 84  0  0
 5  0      0    125     15    441    0    0     0     0 1668 19347 13  4 83  0  0
 0  0      0    125     15    441    0    0     0     0 1129 15939  8  5 87  0  0
 0  0      0    125     15    441    0    0     0     0 1639 13996  6  7 87  0  0
